A2117		Sistatin C	4	yok
PSA1001		ProPsa(Prostat Sağlık İndeksi)	3	yok
K9903311		C1 Complaman	3	yok
ACT-001		ANTİ ÇİNKO TRANSPORTER 8 ANTİKORU ( ZNT8)	3	yok
CEA-456		CEA(Vücut Sıvılarında)	3	yok
MP15036		Xromogranin a	3	yok
MP15249-1		Leptospira antikoru IgG	3	yok
MIX1001		Mix Meal Sonrası 5 Saatlik OGTT (8'li)	3	yok
A123216		tümör nekrozis faktör-alfa (TNF-ALFA)	3	yok
G123-6		Synacten testi-(17-OH Progesteron, kortizol)	3	yok
MKR-001		Makro-TSH	3	yok
121141-13A		LAMBDA Yünqül Z?ncir(s?rb?st) sidik	3	yok
PGT02-002		Tek Gen Hastalıkları Tanısı Amaçlı Preimplantasyon Genetik Test (PGT-M)	3	yok
U090423		üre (vücut sıvılarında)	3	yok
IDR112		sidkd? glukoza	3	yok
BTDD-06		Beta Talasemi Delesyon Duplikasyon Analizi	3	yok
121141-59		Pneumocystis Carinii (PCR)	2	yok
OKS-050		OKSIDE LDL	2	yok
FAI-001		Faktör IX inhibitaörü	2	yok
BR0001		Brucella DNA PZR	2	yok
MMP-001		Multiple Myeloma Paneli	2	yok
FNG-001		FUNGITELL (Beta-D glucan)	2	yok
MOL120-1		Anti-trombosit antiteli	2	yok
ANT-002		Adalimumab, Serum	2	yok
LSP-001		Leishmania spp. DNA (PCR)	2	yok
MH-001		Mycoplasma hominis IgM	2	yok
MH-002		Mycoplasma hominis IgG	2	yok
P1NP-001		Prokollajen Tip 1N-Terminal Propeptid (P1NP)	2	yok
56731-5		ANTİ-JO-1	2	yok
DL-008		I (Yod), sutkalıq sidik	2	yok
MP15249-2		Leptospira  PCR	2	yok
82733-12		VGKC (Voltage Gated Potassium Channel) Antikoru (BOS)	2	yok
KİT-001		KİT Gastroenterit Paneli PCR	2	yok
MP16092		Mikro CRP	2	yok
121141-12		Leishmania Antikoru IgG	2	yok
0		Laktoz tolerans testi (Açıklama)	2	yok
PMSP-1		Post Mayotik Sperm Paneli (Semen)	1	yok
PR-001		PERAMPANEL	1	yok
PRS-001		Proinsülin	1	yok
KLL-3066		KLL PANELİ	1	yok
BP180-2980		Anti BP 180 Antikoru IgG	1	yok
ACBP-2		Androflor Cinsel Bulaş Pcr + (HPV'li)	1	yok
23883-21		Inhibin A	1	belirsiz:23883-2
MT-001		Metapnevmovirus (HMPV) Expres Test	1	yok
OSİ-1		Okzalat (Spot idrar)	1	yok
OSİ-2		Okzalat (24 saatlik idar)	1	yok
UI-002		Ureaplasma IgM	1	yok
HM-001		Hemokromatozis Paneli (FTH1, HAMP, HFE, HFE2, SLC40A1, TFR2, HJV	1	yok
HTLV-002		HTLV 1/2  Antikor Tarama	1	yok
IL-8		İnterleukin-8 (IL-8)	1	yok
21-HİDRO		21-hidroksilaz	1	yok
ACT-002		ANTİ TİROZİN FOSFATAZ ( IA2) ANTİKORU	1	yok
AO-001		Anti-Opistorchis IgG	1	yok
DL-014		Mo (Molibden),serum	1	yok
PP0001		Panorama Prenatal Tanı Testi	1	yok
ILIB-1		İnterleukin 1 Beta (IL-1B)	1	yok
L011		Anti fosfatidilserin IgG	1	yok
LİD-1		Lakozamid ilaç düzeyi	1	yok
THK-115		T HÜCRE KLONALİTESİ TESTİ	1	yok
6248-91		Sp IgE Soya (f14)	1	belirsiz:6248-9
DL-002		Cu (mis), sidikd?	1	yok
DL-011		Cd (Kadmium) sidikd?	1	yok
DL-012		Co (Kobalt) sidikd?	1	yok
G123-9		Fibro Max Testi	1	yok
MLP5857		Zonulin,serum	1	yok
M009923		Anti Bp 230 Antikoru IgG	1	yok
MP15342		GIDA İNTOLERANS TESTİ (200)	1	yok
OKİT-003		HOMOGENTİSİK ASİT/ KREATİNİN ORANI, SPOT İDRAR	1	yok
TBC001		TBC ANTİBİYOTİK DUYARLILIK	1	yok
UI-001		Ureaplasma IgG	1	yok
MG113		FISH t(8;21), AML/ETO	1	yok
